path pointing sca mjd
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/35083/Roman_TDS_simple_model_R062_35083_8.fits.gz 35083 8 62455.174
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/35088/Roman_TDS_simple_model_R062_35088_2.fits.gz 35088 2 62455.19
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/35857/Roman_TDS_simple_model_R062_35857_3.fits.gz 35857 3 62465.187
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/36242/Roman_TDS_simple_model_R062_36242_5.fits.gz 36242 5 62470.187
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/36626/Roman_TDS_simple_model_R062_36626_15.fits.gz 36626 15 62475.185
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/37391/Roman_TDS_simple_model_R062_37391_6.fits.gz 37391 6 62485.168
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/37395/Roman_TDS_simple_model_R062_37395_16.fits.gz 37395 16 62485.182
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/37396/Roman_TDS_simple_model_R062_37396_8.fits.gz 37396 8 62485.185
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/38155/Roman_TDS_simple_model_R062_38155_11.fits.gz 38155 11 62495.15
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/38160/Roman_TDS_simple_model_R062_38160_4.fits.gz 38160 4 62495.166
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/38535/Roman_TDS_simple_model_R062_38535_15.fits.gz 38535 15 62500.134
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/38920/Roman_TDS_simple_model_R062_38920_3.fits.gz 38920 3 62505.134
